id,Status_C,Status_CL,Status_D
7905,0.999971,9e-06,2e-05
7906,1.0,0.0,0.0
7907,4.8e-05,2.9e-05,0.999923
7908,1.0,0.0,0.0
7909,0.999971,9e-06,2e-05
7910,1.0,0.0,0.0
7911,1.0,0.0,0.0
7912,0.000278,8.1e-05,0.99964
7913,0.000257,2.3e-05,0.99972
7914,0.0,0.0,1.0
7915,0.999994,2e-06,4e-06
7916,0.999971,9e-06,2e-05
7917,2e-06,0.0,0.999998
7918,0.000343,3.4e-05,0.999622
7919,0.999971,9e-06,2e-05
7920,1.0,0.0,0.0
7921,1.0,0.0,0.0
7922,0.0,0.0,1.0
7923,1.0,0.0,0.0
7924,0.999971,9e-06,2e-05
7925,0.000255,3e-05,0.999715
7926,0.999971,9e-06,2e-05
7927,0.999977,5e-06,1.8e-05
7928,0.000343,3.4e-05,0.999622
7929,0.000343,3.4e-05,0.999622
7930,0.000255,3e-05,0.999715
7931,0.999971,9e-06,2e-05
7932,0.999994,2e-06,4e-06
7933,0.000343,3.4e-05,0.999622
7934,1.0,0.0,0.0
7935,1.0,0.0,0.0
7936,1.0,0.0,0.0
7937,0.0,0.0,1.0
7938,1.0,0.0,0.0
7939,0.999977,5e-06,1.8e-05
7940,1.0,0.0,0.0
7941,0.999994,2e-06,4e-06
7942,1.0,0.0,0.0
7943,0.0,0.0,1.0
7944,1.0,0.0,0.0
7945,1.0,0.0,0.0
7946,1.0,0.0,0.0
7947,0.999994,2e-06,4e-06
7948,0.000343,3.4e-05,0.999622
7949,0.999977,5e-06,1.8e-05
7950,0.999994,2e-06,4e-06
7951,1e-06,0.0,0.999999
7952,0.999994,2e-06,4e-06
7953,0.0,0.0,1.0
7954,0.999971,9e-06,2e-05
7955,0.000255,3e-05,0.999715
7956,1e-06,0.0,0.999999
7957,1.0,0.0,0.0
7958,0.999994,2e-06,4e-06
7959,1.0,0.0,0.0
7960,0.000255,3e-05,0.999715
7961,1.0,0.0,0.0
7962,0.000343,3.4e-05,0.999622
7963,0.000343,3.4e-05,0.999622
7964,0.0,0.0,0.999999
7965,1.0,0.0,0.0
7966,0.000255,3e-05,0.999715
7967,1.0,0.0,0.0
7968,1.0,0.0,0.0
7969,0.999994,2e-06,4e-06
7970,1.0,0.0,0.0
7971,1.0,0.0,0.0
7972,1.0,0.0,0.0
7973,1.0,0.0,0.0
7974,1.0,0.0,0.0
7975,0.999994,2e-06,4e-06
7976,1e-06,0.0,0.999999
7977,1.0,0.0,0.0
7978,0.000343,3.4e-05,0.999622
7979,0.999977,5e-06,1.8e-05
7980,0.999971,9e-06,2e-05
7981,0.000343,3.4e-05,0.999622
7982,1.0,0.0,0.0
7983,0.999977,5e-06,1.8e-05
7984,0.999971,9e-06,2e-05
7985,0.999971,9e-06,2e-05
7986,0.999994,2e-06,4e-06
7987,1.0,0.0,0.0
7988,1.0,0.0,0.0
7989,0.999994,2e-06,4e-06
7990,0.0,0.0,1.0
7991,0.000255,3e-05,0.999715
7992,1.0,0.0,0.0
7993,0.000278,8.1e-05,0.99964
7994,1.0,0.0,0.0
7995,1.0,0.0,0.0
7996,0.0,0.0,0.999999
7997,1.0,0.0,0.0
7998,0.0,0.0,1.0
7999,0.0,0.0,1.0
8000,0.999985,1e-06,1.4e-05
8001,1.0,0.0,0.0
8002,0.999971,9e-06,2e-05
8003,1.0,0.0,0.0
8004,0.000255,3e-05,0.999715
8005,0.000255,3e-05,0.999715
8006,1.0,0.0,0.0
8007,0.999995,1e-06,4e-06
8008,1.0,0.0,0.0
8009,0.999971,9e-06,2e-05
8010,1.0,0.0,0.0
8011,0.000278,8.1e-05,0.99964
8012,0.000255,3e-05,0.999715
8013,0.999994,2e-06,4e-06
8014,0.999994,2e-06,4e-06
8015,1.0,0.0,0.0
8016,1.0,0.0,0.0
8017,0.000343,3.4e-05,0.999622
8018,0.999994,2e-06,4e-06
8019,1.0,0.0,0.0
8020,0.999971,9e-06,2e-05
8021,0.000535,0.000105,0.99936
8022,0.000255,3e-05,0.999715
8023,1.0,0.0,0.0
8024,0.999994,2e-06,4e-06
8025,0.999971,9e-06,2e-05
8026,1.0,0.0,0.0
8027,1.0,0.0,0.0
8028,0.001033,2e-05,0.998947
8029,1.0,0.0,0.0
8030,6.2e-05,1e-05,0.999928
8031,1.0,0.0,0.0
8032,1.0,0.0,0.0
8033,0.999922,1.4e-05,6.4e-05
8034,1.0,0.0,0.0
8035,1.0,0.0,0.0
8036,1.0,0.0,0.0
8037,0.000197,1.3e-05,0.999791
8038,0.999922,1.4e-05,6.4e-05
8039,0.999971,9e-06,2e-05
8040,1.0,0.0,0.0
8041,0.999977,5e-06,1.8e-05
8042,0.999971,9e-06,2e-05
8043,0.999977,5e-06,1.8e-05
8044,0.000257,2.3e-05,0.99972
8045,0.000343,3.4e-05,0.999622
8046,0.000343,3.4e-05,0.999622
8047,1.0,0.0,0.0
8048,1.0,0.0,0.0
8049,0.999994,2e-06,4e-06
8050,0.000255,3e-05,0.999715
8051,0.999985,1e-06,1.4e-05
8052,1.0,0.0,0.0
8053,0.999971,9e-06,2e-05
8054,1.0,0.0,0.0
8055,0.000255,3e-05,0.999715
8056,0.999971,9e-06,2e-05
8057,1.0,0.0,0.0
8058,0.999995,1e-06,4e-06
8059,1.0,0.0,0.0
8060,0.000255,3e-05,0.999715
8061,0.999922,1.4e-05,6.4e-05
8062,0.999985,1e-06,1.4e-05
8063,1.0,0.0,0.0
8064,0.0,0.0,1.0
8065,1.0,0.0,0.0
8066,1.0,0.0,0.0
8067,0.000255,3e-05,0.999715
8068,0.999922,1.4e-05,6.4e-05
8069,0.999985,1e-06,1.4e-05
8070,1.0,0.0,0.0
8071,1.0,0.0,0.0
8072,1.0,0.0,0.0
8073,1.0,0.0,0.0
8074,0.999971,9e-06,2e-05
8075,1.0,0.0,0.0
8076,1.0,0.0,0.0
8077,0.000343,3.4e-05,0.999622
8078,0.000255,3e-05,0.999715
8079,0.999977,5e-06,1.8e-05
8080,0.999961,5e-06,3.5e-05
8081,0.999985,1e-06,1.4e-05
8082,0.000343,3.4e-05,0.999622
8083,0.999994,2e-06,4e-06
8084,0.999971,9e-06,2e-05
8085,1.0,0.0,0.0
8086,0.0,0.0,1.0
8087,1.0,0.0,0.0
8088,0.000255,3e-05,0.999715
8089,0.999995,1e-06,4e-06
8090,1e-06,0.0,0.999999
8091,1.0,0.0,0.0
8092,0.0,0.0,1.0
8093,1.0,0.0,0.0
8094,0.999971,9e-06,2e-05
8095,0.000343,3.4e-05,0.999622
8096,1.0,0.0,0.0
8097,1e-06,0.0,0.999999
8098,1.0,0.0,0.0
8099,0.000255,3e-05,0.999715
8100,0.999994,2e-06,4e-06
8101,0.999922,1.4e-05,6.4e-05
8102,0.999994,2e-06,4e-06
8103,1.0,0.0,0.0
8104,0.999994,2e-06,4e-06
8105,0.999994,2e-06,4e-06
8106,1.0,0.0,0.0
8107,0.000255,3e-05,0.999715
8108,1.0,0.0,0.0
8109,0.999994,2e-06,4e-06
8110,1.0,0.0,0.0
8111,0.999971,9e-06,2e-05
8112,0.000255,3e-05,0.999715
8113,1e-06,0.0,0.999999
8114,0.999971,9e-06,2e-05
8115,1.0,0.0,0.0
8116,0.999994,2e-06,4e-06
8117,0.000255,3e-05,0.999715
8118,1.0,0.0,0.0
8119,0.999994,2e-06,4e-06
8120,0.999977,5e-06,1.8e-05
8121,0.999922,1.4e-05,6.4e-05
8122,1.0,0.0,0.0
8123,1.0,0.0,0.0
8124,0.000343,3.4e-05,0.999622
8125,0.000197,1.3e-05,0.999791
8126,1.0,0.0,0.0
8127,0.999985,1e-06,1.4e-05
8128,0.999994,2e-06,4e-06
8129,1.0,0.0,0.0
8130,0.999994,2e-06,4e-06
8131,0.000343,3.4e-05,0.999622
8132,1.0,0.0,0.0
8133,0.999994,2e-06,4e-06
8134,1.0,0.0,0.0
8135,1e-06,0.0,0.999999
8136,0.000316,2.1e-05,0.999664
8137,1.0,0.0,0.0
8138,0.000255,3e-05,0.999715
8139,0.000343,3.4e-05,0.999622
8140,1.0,0.0,0.0
8141,1.0,0.0,0.0
8142,1.0,0.0,0.0
8143,1.0,0.0,0.0
8144,0.0,0.0,1.0
8145,1.0,0.0,0.0
8146,1.0,0.0,0.0
8147,0.999922,1.4e-05,6.4e-05
8148,0.999922,1.4e-05,6.4e-05
8149,0.000343,3.4e-05,0.999622
8150,1.0,0.0,0.0
8151,0.999994,2e-06,4e-06
8152,1.0,0.0,0.0
8153,0.999985,1e-06,1.4e-05
8154,0.000343,3.4e-05,0.999622
8155,0.000197,1.3e-05,0.999791
8156,1.0,0.0,0.0
8157,0.000255,3e-05,0.999715
8158,1.0,0.0,0.0
8159,0.999994,2e-06,4e-06
8160,0.999961,5e-06,3.5e-05
8161,1.0,0.0,0.0
8162,1.0,0.0,0.0
8163,0.999994,2e-06,4e-06
8164,1.0,0.0,0.0
8165,1.0,0.0,0.0
8166,0.999971,9e-06,2e-05
8167,0.999971,9e-06,2e-05
8168,0.999971,9e-06,2e-05
8169,0.999994,2e-06,4e-06
8170,0.999994,2e-06,4e-06
8171,0.0,0.0,1.0
8172,0.999994,2e-06,4e-06
8173,0.999971,9e-06,2e-05
8174,1.0,0.0,0.0
8175,1.0,0.0,0.0
8176,0.999971,9e-06,2e-05
8177,0.999994,2e-06,4e-06
8178,0.000255,3e-05,0.999715
8179,0.999985,1e-06,1.4e-05
8180,1.0,0.0,0.0
8181,0.000343,3.4e-05,0.999622
8182,1.0,0.0,0.0
8183,0.999994,2e-06,4e-06
8184,0.000343,3.4e-05,0.999622
8185,1.0,0.0,0.0
8186,0.000343,3.4e-05,0.999622
8187,0.999994,2e-06,4e-06
8188,1.0,0.0,0.0
8189,0.000535,0.000105,0.99936
8190,0.999985,1e-06,1.4e-05
8191,1.0,0.0,0.0
8192,0.999994,2e-06,4e-06
8193,1.0,0.0,0.0
8194,1.0,0.0,0.0
8195,1.0,0.0,0.0
8196,1.0,0.0,0.0
8197,0.000255,3e-05,0.999715
8198,0.000255,3e-05,0.999715
8199,1.0,0.0,0.0
8200,1.0,0.0,0.0
8201,0.000255,3e-05,0.999715
8202,0.999922,1.4e-05,6.4e-05
8203,1.0,0.0,0.0
8204,0.999994,2e-06,4e-06
8205,1.0,0.0,0.0
8206,0.000278,8.1e-05,0.99964
8207,1.0,0.0,0.0
8208,0.000255,3e-05,0.999715
8209,0.999994,2e-06,4e-06
8210,1.0,0.0,0.0
8211,0.999971,9e-06,2e-05
8212,1.0,0.0,0.0
8213,1.0,0.0,0.0
8214,1e-06,0.0,0.999999
8215,1.0,0.0,0.0
8216,0.999971,9e-06,2e-05
8217,1.0,0.0,0.0
8218,0.000255,3e-05,0.999715
8219,0.999994,2e-06,4e-06
8220,1.0,0.0,0.0
8221,0.000343,3.4e-05,0.999622
8222,0.999977,5e-06,1.8e-05
8223,1.0,0.0,0.0
8224,1.0,0.0,0.0
8225,0.000343,3.4e-05,0.999622
8226,0.0,0.0,1.0
8227,1.0,0.0,0.0
8228,1.0,0.0,0.0
8229,0.000343,3.4e-05,0.999622
8230,0.999994,2e-06,4e-06
8231,1.0,0.0,0.0
8232,0.000197,1.3e-05,0.999791
8233,0.000316,2.1e-05,0.999664
8234,1.0,0.0,0.0
8235,0.999994,2e-06,4e-06
8236,0.999994,2e-06,4e-06
8237,0.999971,9e-06,2e-05
8238,0.000343,3.4e-05,0.999622
8239,0.000343,3.4e-05,0.999622
8240,1.0,0.0,0.0
8241,0.0,0.0,1.0
8242,1.0,0.0,0.0
8243,1.0,0.0,0.0
8244,1.0,0.0,0.0
8245,0.000343,3.4e-05,0.999622
8246,0.000343,3.4e-05,0.999622
8247,1.0,0.0,0.0
8248,1.0,0.0,0.0
8249,1.0,0.0,0.0
8250,1.0,0.0,0.0
8251,0.000343,3.4e-05,0.999622
8252,0.999922,1.4e-05,6.4e-05
8253,1.0,0.0,0.0
8254,0.000255,3e-05,0.999715
8255,0.999922,1.4e-05,6.4e-05
8256,0.999922,1.4e-05,6.4e-05
8257,1.0,0.0,0.0
8258,5e-06,2e-06,0.999993
8259,0.000255,3e-05,0.999715
8260,1.0,0.0,0.0
8261,0.999994,2e-06,4e-06
8262,1.0,0.0,0.0
8263,1.0,0.0,0.0
8264,1.0,0.0,0.0
8265,1.0,0.0,0.0
8266,0.0,0.0,1.0
8267,0.999994,2e-06,4e-06
8268,1.0,0.0,0.0
8269,1.0,0.0,0.0
8270,0.999971,9e-06,2e-05
8271,1.0,0.0,0.0
8272,1.0,0.0,0.0
8273,0.001033,2e-05,0.998947
8274,1.0,0.0,0.0
8275,1e-06,0.0,0.999999
8276,0.999994,2e-06,4e-06
8277,0.999994,2e-06,4e-06
8278,0.999994,2e-06,4e-06
8279,1.0,0.0,0.0
8280,0.000535,0.000105,0.99936
8281,1.0,0.0,0.0
8282,1.0,0.0,0.0
8283,1.0,0.0,0.0
8284,0.999994,2e-06,4e-06
8285,0.999994,2e-06,4e-06
8286,1.0,0.0,0.0
8287,0.000255,3e-05,0.999715
8288,1.0,0.0,0.0
8289,0.000343,3.4e-05,0.999622
8290,0.0,0.0,0.999999
8291,0.000197,1.3e-05,0.999791
8292,1.0,0.0,0.0
8293,1.0,0.0,0.0
8294,1.0,0.0,0.0
8295,1.0,0.0,0.0
8296,0.999994,2e-06,4e-06
8297,0.999971,9e-06,2e-05
8298,1.0,0.0,0.0
8299,0.999971,9e-06,2e-05
